Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2024-04-06;191523;344937,00;0;0,00;0;20000,00;8;2.000,00;47;200,00;428;20,00;4167;5,00;41613;2,00;19005;1,50
2024-04-05;138495;260194,50;0;0,00;1;20000,00;2;2.000,00;39;200,00;287;20,00;3046;5,00;30956;2,00;14790;1,50
2024-04-04;25187;52075,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;58;20,00;596;5,00;6356;2,00;3240;1,50
2024-04-03;124835;235500,00;0;0,00;0;20000,00;2;2.000,00;38;200,00;285;20,00;2953;5,00;28498;2,00;12896;1,50
2024-04-02;90540;174016,50;0;0,00;0;20000,00;1;2.000,00;22;200,00;215;20,00;2185;5,00;20785;2,00;9865;1,50
2024-04-01;25190;52474,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;61;20,00;615;5,00;6315;2,00;2989;1,50
2024-03-31;3836;12079,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;10;20,00;162;5,00;1408;2,00;649;1,50
2024-03-30;187135;335512,50;0;0,00;0;20000,00;0;2.000,00;31;200,00;389;20,00;4093;5,00;40681;2,00;17968;1,50
2024-03-29;141003;264504,00;0;0,00;1;20000,00;5;2.000,00;28;200,00;309;20,00;3288;5,00;31843;2,00;14615;1,50
2024-03-28;26581;55204,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;61;20,00;699;5,00;6566;2,00;3169;1,50
2024-03-27;123630;229471,50;0;0,00;0;20000,00;4;2.000,00;40;200,00;250;20,00;2685;5,00;27404;2,00;11774;1,50
2024-03-26;94078;178942,50;0;0,00;0;20000,00;5;2.000,00;27;200,00;208;20,00;2145;5,00;21503;2,00;10049;1,50
2024-03-25;26118;53589,00;0;0,00;0;20000,00;1;2.000,00;4;200,00;44;20,00;621;5,00;6401;2,00;2960;1,50
2024-03-24;3832;12543,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;7;20,00;165;5,00;1448;2,00;741;1,50
2024-03-23;185325;332175,00;0;0,00;2;20000,00;4;2.000,00;41;200,00;371;20,00;3892;5,00;39003;2,00;19720;1,50
2024-03-22;133867;249493,50;0;0,00;0;20000,00;3;2.000,00;27;200,00;307;20,00;3009;5,00;29980;2,00;13490;1,50
2024-03-21;27355;56791,50;0;0,00;0;20000,00;1;2.000,00;4;200,00;55;20,00;705;5,00;6791;2,00;3124;1,50
2024-03-20;154235;292489,50;0;0,00;2;20000,00;5;2.000,00;42;200,00;340;20,00;3539;5,00;35297;2,00;14997;1,50
2024-03-19;94316;179317,50;0;0,00;0;20000,00;3;2.000,00;18;200,00;208;20,00;2083;5,00;21413;2,00;9949;1,50
2024-03-18;26136;52081,50;0;0,00;0;20000,00;1;2.000,00;6;200,00;66;20,00;590;5,00;6116;2,00;2912;1,50
2024-03-17;3529;10711,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;8;20,00;125;5,00;1237;2,00;623;1,50
2024-03-16;216488;395904,00;0;0,00;0;20000,00;6;2.000,00;44;200,00;504;20,00;4755;5,00;47620;2,00;24306;1,50
2024-03-15;228990;451885,50;0;0,00;0;20000,00;3;2.000,00;50;200,00;508;20,00;5371;5,00;54168;2,00;26084;1,50
2024-03-14;26047;52377,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;63;20,00;666;5,00;6287;2,00;2684;1,50
2024-03-13;150058;284437,50;0;0,00;0;20000,00;3;2.000,00;43;200,00;315;20,00;3365;5,00;34652;2,00;16193;1,50
2024-03-12;102932;197413,50;0;0,00;0;20000,00;1;2.000,00;32;200,00;228;20,00;2271;5,00;23356;2,00;10499;1,50
2024-03-11;27037;54084,00;0;0,00;1;20000,00;2;2.000,00;4;200,00;67;20,00;671;5,00;6502;2,00;2802;1,50
2024-03-10;3634;11154,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;12;20,00;134;5,00;1305;2,00;644;1,50
2024-03-09;208816;380527,50;0;0,00;0;20000,00;4;2.000,00;51;200,00;472;20,00;4632;5,00;45756;2,00;20780;1,50
2024-03-08;144626;271144,50;0;0,00;1;20000,00;1;2.000,00;20;200,00;324;20,00;3273;5,00;32149;2,00;15084;1,50
2024-03-07;27659;55815,00;0;0,00;0;20000,00;1;2.000,00;7;200,00;78;20,00;681;5,00;6752;2,00;3504;1,50
2024-03-06;145232;273891,00;0;0,00;2;20000,00;2;2.000,00;32;200,00;342;20,00;3265;5,00;33019;2,00;15827;1,50
2024-03-05;98714;188922,00;0;0,00;0;20000,00;2;2.000,00;16;200,00;238;20,00;2217;5,00;22891;2,00;10743;1,50
2024-03-04;27847;56388,00;0;0,00;0;20000,00;0;2.000,00;5;200,00;75;20,00;715;5,00;6778;2,00;3576;1,50
2024-03-03;3662;11514,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;11;20,00;134;5,00;1347;2,00;642;1,50
2024-03-02;209672;383995,50;0;0,00;0;20000,00;2;2.000,00;44;200,00;461;20,00;4583;5,00;45632;2,00;21486;1,50
2024-03-01;137128;257449,50;1;400000,00;0;20000,00;4;2.000,00;36;200,00;354;20,00;3163;5,00;30950;2,00;14355;1,50
2024-02-29;27816;57658,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;66;20,00;674;5,00;6742;2,00;3618;1,50
2024-02-28;137573;257812,50;0;0,00;1;20000,00;1;2.000,00;33;200,00;325;20,00;3128;5,00;30929;2,00;15979;1,50
2024-02-27;92167;175497,00;0;0,00;0;20000,00;2;2.000,00;29;200,00;205;20,00;2082;5,00;20747;2,00;10236;1,50
2024-02-26;26506;54496,50;0;0,00;0;20000,00;0;2.000,00;10;200,00;65;20,00;646;5,00;6637;2,00;3295;1,50
2024-02-25;3820;12147,00;0;0,00;0;20000,00;0;2.000,00;1;200,00;13;20,00;145;5,00;1386;2,00;647;1,50
2024-02-24;199784;362014,50;0;0,00;0;20000,00;2;2.000,00;56;200,00;457;20,00;4252;5,00;43375;2,00;19589;1,50
2024-02-23;131139;244161,00;0;0,00;0;20000,00;4;2.000,00;19;200,00;290;20,00;2883;5,00;28999;2,00;13152;1,50
2024-02-22;26980;55836,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;69;20,00;676;5,00;6820;2,00;3112;1,50
2024-02-21;129956;243835,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;259;20,00;2918;5,00;29300;2,00;12938;1,50
2024-02-20;100390;192375,00;0;0,00;0;20000,00;4;2.000,00;26;200,00;233;20,00;2276;5,00;22736;2,00;10335;1,50
2024-02-19;24969;50737,50;0;0,00;0;20000,00;2;2.000,00;7;200,00;68;20,00;609;5,00;6097;2,00;2771;1,50
2024-02-18;3623;11134,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;12;20,00;122;5,00;1325;2,00;627;1,50
2024-02-17;190362;342699,00;1;600000,00;1;20000,00;6;2.000,00;43;200,00;437;20,00;4077;5,00;41365;2,00;17394;1,50
2024-02-16;139666;262738,50;0;0,00;0;20000,00;3;2.000,00;36;200,00;309;20,00;3171;5,00;31461;2,00;15726;1,50
2024-02-15;25850;54327,00;0;0,00;0;20000,00;2;2.000,00;11;200,00;71;20,00;657;5,00;6633;2,00;3047;1,50
2024-02-14;233735;448401,00;0;0,00;0;20000,00;6;2.000,00;59;200,00;521;20,00;5196;5,00;53918;2,00;23838;1,50
2024-02-13;101170;194313,00;0;0,00;0;20000,00;1;2.000,00;17;200,00;226;20,00;2352;5,00;23371;2,00;10477;1,50
2024-02-12;25309;52836,00;0;0,00;0;20000,00;1;2.000,00;7;200,00;62;20,00;644;5,00;6259;2,00;2923;1,50
2024-02-11;3911;12634,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;9;20,00;168;5,00;1504;2,00;718;1,50
2024-02-10;185998;333210,00;0;0,00;0;20000,00;4;2.000,00;35;200,00;382;20,00;3966;5,00;40034;2,00;19505;1,50
2024-02-09;142000;268663,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;332;20,00;3294;5,00;32670;2,00;16154;1,50
2024-02-08;26265;55108,50;0;0,00;0;20000,00;0;2.000,00;8;200,00;62;20,00;630;5,00;6701;2,00;2928;1,50
2024-02-07;123066;228543,00;0;0,00;0;20000,00;4;2.000,00;33;200,00;263;20,00;2844;5,00;27619;2,00;12348;1,50
2024-02-06;100156;193102,50;0;0,00;0;20000,00;1;2.000,00;27;200,00;245;20,00;2330;5,00;23160;2,00;10420;1,50
2024-02-05;26828;55950,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;64;20,00;658;5,00;6681;2,00;3158;1,50
2024-02-04;4089;12958,50;0;0,00;0;20000,00;0;2.000,00;0;200,00;7;20,00;163;5,00;1609;2,00;748;1,50
2024-02-03;186001;334281,00;0;0,00;0;20000,00;3;2.000,00;50;200,00;397;20,00;3978;5,00;40531;2,00;17625;1,50
2024-02-02;145588;274323,00;0;0,00;0;20000,00;4;2.000,00;32;200,00;329;20,00;3225;5,00;32559;2,00;14503;1,50
2024-02-01;28759;60333,00;0;0,00;0;20000,00;1;2.000,00;7;200,00;78;20,00;735;5,00;7191;2,00;3121;1,50
2024-01-31;122227;227119,50;0;0,00;0;20000,00;1;2.000,00;26;200,00;285;20,00;2706;5,00;27426;2,00;13180;1,50
2024-01-30;160454;327427,50;0;0,00;0;20000,00;4;2.000,00;44;200,00;381;20,00;3871;5,00;39044;2,00;17375;1,50
2024-01-29;27242;56356,50;0;0,00;0;20000,00;2;2.000,00;5;200,00;73;20,00;636;5,00;6827;2,00;3172;1,50
2024-01-28;3935;13003,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;15;20,00;149;5,00;1571;2,00;697;1,50
2024-01-27;196748;355288,50;0;0,00;1;20000,00;1;2.000,00;43;200,00;438;20,00;4352;5,00;42801;2,00;20371;1,50
2024-01-26;250785;504304,50;0;0,00;1;20000,00;6;2.000,00;59;200,00;628;20,00;6008;5,00;60573;2,00;29166;1,50
2024-01-25;27196;56524,50;0;0,00;0;20000,00;1;2.000,00;5;200,00;66;20,00;713;5,00;6760;2,00;3069;1,50
2024-01-24;125240;233416,50;0;0,00;0;20000,00;0;2.000,00;27;200,00;294;20,00;2774;5,00;28133;2,00;13353;1,50
2024-01-23;94973;182214,00;0;0,00;0;20000,00;3;2.000,00;19;200,00;201;20,00;2218;5,00;21911;2,00;10321;1,50
2024-01-22;26669;55536,00;0;0,00;0;20000,00;0;2.000,00;13;200,00;76;20,00;669;5,00;6547;2,00;3062;1,50
2024-01-21;3817;12130,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;13;20,00;148;5,00;1434;2,00;663;1,50
2024-01-20;181019;325621,50;0;0,00;0;20000,00;4;2.000,00;42;200,00;381;20,00;3966;5,00;39311;2,00;17349;1,50
2024-01-19;129619;243901,50;0;0,00;0;20000,00;2;2.000,00;25;200,00;282;20,00;2893;5,00;29482;2,00;13024;1,50
2024-01-18;26267;54796,50;0;0,00;0;20000,00;1;2.000,00;11;200,00;70;20,00;673;5,00;6454;2,00;2901;1,50
2024-01-17;117311;218955,00;0;0,00;0;20000,00;2;2.000,00;34;200,00;265;20,00;2658;5,00;25853;2,00;11228;1,50
2024-01-16;103143;199080,00;0;0,00;0;20000,00;2;2.000,00;19;200,00;250;20,00;2396;5,00;23667;2,00;10960;1,50
2024-01-15;27669;57043,50;0;0,00;0;20000,00;0;2.000,00;8;200,00;67;20,00;722;5,00;6968;2,00;3134;1,50
2024-01-14;3808;11892,00;0;0,00;0;20000,00;0;2.000,00;0;200,00;12;20,00;141;5,00;1444;2,00;667;1,50
2024-01-13;188028;337228,50;0;0,00;0;20000,00;4;2.000,00;34;200,00;382;20,00;3927;5,00;40149;2,00;19300;1,50
2024-01-12;145597;276084,00;0;0,00;0;20000,00;5;2.000,00;34;200,00;327;20,00;3260;5,00;32881;2,00;15951;1,50
2024-01-11;27951;58288,50;0;0,00;0;20000,00;2;2.000,00;8;200,00;70;20,00;740;5,00;7117;2,00;3252;1,50
2024-01-10;121450;226674,00;0;0,00;0;20000,00;1;2.000,00;25;200,00;279;20,00;2716;5,00;27482;2,00;12039;1,50
2024-01-09;102057;197554,50;0;0,00;0;20000,00;2;2.000,00;32;200,00;243;20,00;2246;5,00;23670;2,00;11346;1,50
2024-01-08;27285;56808,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;74;20,00;722;5,00;6681;2,00;3189;1,50
2024-01-07;3824;12420,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;17;20,00;169;5,00;1505;2,00;675;1,50
2024-01-06;196463;356599,50;0;0,00;0;20000,00;5;2.000,00;40;200,00;394;20,00;4319;5,00;43204;2,00;20472;1,50
2024-01-05;140635;267094,50;0;0,00;1;20000,00;5;2.000,00;41;200,00;303;20,00;3122;5,00;31950;2,00;14644;1,50
2024-01-04;28679;59560,50;0;0,00;0;20000,00;1;2.000,00;3;200,00;67;20,00;697;5,00;7206;2,00;3231;1,50
2024-01-03;125986;239271,00;0;0,00;1;20000,00;2;2.000,00;26;200,00;285;20,00;2841;5,00;29038;2,00;13296;1,50
2024-01-02;97215;192006,00;0;0,00;1;20000,00;1;2.000,00;20;200,00;233;20,00;2314;5,00;23121;2,00;10880;1,50
2024-01-01;29284;61735,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;70;20,00;755;5,00;7391;2,00;3417;1,50
