Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2013-08-16;649305;4736600,00;0;0,00;0;348541,10;1;82985,90;5;4761,40;74;220,20;181;113,30;160;73,30;2717;22,00;3648;15,70;7370;13,00;14370;11,60;52808;8,40;107564;4,20
2013-08-13;450349;3085826,00;0;0,00;0;1218458,40;1;101538,20;1;7252,70;45;222,90;90;106,30;110;72,90;1682;22,40;2099;15,70;4166;12,50;8772;11,60;32060;8,30;66998;4,00
2013-08-09;717595;5134610,00;0;0,00;0;140832,60;1;43333,10;7;3200,70;180;113,30;294;66,10;278;45,70;3481;17,00;6305;9,60;11258;8,90;16096;10,00;76746;6,10;137413;3,40
2013-08-06;426993;2839490,00;0;0,00;0;556392,00;0;61821,30;3;9761,20;29;281,20;52;143,60;84;88,30;1172;26,30;1613;18,10;3477;14,30;6247;13,80;26231;9,10;55490;4,40
2013-08-02;638720;4480820,00;0;0,00;0;394295,50;1;58414,10;2;5974,10;43;265,20;98;133,60;193;60,50;2794;18,50;2787;16,60;5563;15,00;16512;8,90;45356;8,90;84483;4,90
2013-07-30;373145;2423608,00;0;0,00;0;258528,40;1;57450,70;5;4419,20;46;208,50;104;98,50;154;57,20;1560;18,60;1871;14,00;4219;10,70;7995;10,20;26719;7,70;60629;3,60
2013-07-26;603842;4185080,00;0;0,00;0;378549,60;1;47318,70;9;4070,40;146;176,30;241;98,20;191;63,90;2688;19,80;4430;13,20;8067;12,00;13401;10,50;55173;7,50;98618;4,10
2013-07-23;365525;2343254,00;0;15000000,00;0;197499,90;0;329166,50;3;4114,50;29;230,00;61;117,10;86;56,60;1425;17,70;1799;13,70;2975;13,30;7156;9,80;28402;7,00;47413;4,20
2013-07-19;618932;4285262,00;0;15000000,00;0;378116,60;1;72022,20;5;2653,40;90;165,40;111;99,80;281;38,80;3999;13,50;3636;11,60;5833;12,00;20747;7,60;52499;6,90;85682;4,20
2013-07-16;398302;2598520,00;0;22078146,00;0;353907,20;0;117969,00;3;4115,20;30;264,20;65;110,50;132;59,50;1792;18,30;1788;16,00;3864;12,90;9675;9,30;27307;8,60;57751;4,10
2013-07-12;664217;4612212,00;0;0,00;0;0,00;1;412933,20;6;4869,40;119;215,80;147;131,60;184;70,30;2362;22,90;4255;14,80;6989;14,30;12643;11,70;58879;7,80;96327;4,60
2013-07-09;425567;2802848,00;0;33574531,00;0;1134284,60;0;126031,60;3;6098,30;44;260,40;92;117,90;67;90,20;1170;27,80;1811;18,00;4398;13,10;6120;14,50;26613;9,60;63021;4,20
2013-07-05;705846;4948172,00;0;0,00;0;330378,90;0;28980,60;3;5985,10;90;182,20;265;62,80;146;83,60;1960;26,60;3522;14,30;10687;8,50;9933;14,80;49131;8,60;137332;3,20
2013-07-02;421641;2740512,00;0;0,00;3;84483,90;1;28161,30;8;2377,20;73;107,40;108;73,70;129;42,30;1849;15,80;3083;9,50;4746;9,80;8797;9,80;38662;6,00;63715;3,70
